WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000058694,urn:lsid:ipni.org:names:77368963-1,Dubyaea hispida,DC.,Prodr. [A. P. de Candolle] 7(1): 247. 1838 [late Apr 1838] ,Dubyaea,,,
wfo-1200099379,urn:lsid:ipni.org:names:77369265-1,Hieracium poliothapsinum var. disparifolium,Johanss.,Bot. Not. 201. 1928 ,Hieracium,,,
wfo-1000084833,urn:lsid:ipni.org:names:77369268-1,Taraxacum norrbottnicum,"H.Øllg., J.Räsänen & Stenberg",Nordic J. Bot. 2025(8)-e04726: 5. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084835,urn:lsid:ipni.org:names:77369269-1,Taraxacum anttii,J.Räsänen & Stenberg,Nordic J. Bot. 2025(7)- e04726: 7. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084837,urn:lsid:ipni.org:names:77369270-1,Taraxacum eupolyglochin,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 9. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084839,urn:lsid:ipni.org:names:77369271-1,Taraxacum grothii,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 9. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084840,urn:lsid:ipni.org:names:77369273-1,Taraxacum hebephyllum,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 13. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084841,urn:lsid:ipni.org:names:77369275-1,Taraxacum irmae,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 15. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084842,urn:lsid:ipni.org:names:77369276-1,Taraxacum pectinatulum,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 15. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084843,urn:lsid:ipni.org:names:77369277-1,Taraxacum phoeostephum,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 20. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084844,urn:lsid:ipni.org:names:77369279-1,Taraxacum piceeti,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8)-e04726: 20. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084845,urn:lsid:ipni.org:names:77369295-1,Taraxacum platyacrum,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 23. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084846,urn:lsid:ipni.org:names:77369296-1,Taraxacum platycolpum,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 25. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084847,urn:lsid:ipni.org:names:77369297-1,Taraxacum porphyrodon,Dahlst. ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 27. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084848,urn:lsid:ipni.org:names:77369298-1,Taraxacum pseudohypochaeris,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 27. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084849,urn:lsid:ipni.org:names:77369299-1,Taraxacum pseudooreinum,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 30. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084850,urn:lsid:ipni.org:names:77369301-1,Taraxacum silvanum,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 32. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084851,urn:lsid:ipni.org:names:77369302-1,Taraxacum skajtense,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 34. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084820,urn:lsid:ipni.org:names:77369303-1,Taraxacum svansteinense,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 34. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084821,urn:lsid:ipni.org:names:77369304-1,Taraxacum transiens,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 37. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084852,urn:lsid:ipni.org:names:77369305-1,Taraxacum unidens,J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 39. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1000084853,urn:lsid:ipni.org:names:77369306-1,Taraxacum viridellum,G.E.Haglund ex J.Räsänen & Stenberg,Nordic J. Bot. 2025(8):-e04726: 39. [11 Apr 2025] [epublished],Taraxacum,,,
wfo-1200114847,urn:lsid:ipni.org:names:77369673-1,Melanoseris lessertiana var. dentata,(DC.) Dar & Govaerts,Fl. Kashmir Himalaya Sind Valley 2: 938. 2025 [Aug 2025] ,Melanoseris,,Asteraceae Mulgedium lessertianum DC. var. dentatum DC.,(DC.)
wfo-1000084685,urn:lsid:ipni.org:names:229514-1,Leontodon taraxaconaster,Vand.,Fasc. Pl. 18. ,Leontodon,,,
wfo-1000085065,urn:lsid:ipni.org:names:254015-1,Taraxacum minimum,Terrac.,"Atti Real(e) Ist. Incoragg. Sci. Nat. Napoli ser. 2, 6: 352. 1869 ",Taraxacum,,,
